都道府県,市区町村,住所,都道府県_候補,市区町村_候補,住所c_候補,住所d_候補,住所e_候補,match_score,match_status,不一致理由
青森県,青森市,三好1丁目13−7,青森県,青森市,大字石江,字三好,,28.94,unmatched,住所類似度しきい値未満
青森県,青森市,沖館4丁目2−47 グランドコートヘルメス,青森県,青森市,沖館,字篠田,,21.99,unmatched,住所類似度しきい値未満
青森県,青森市,里見1丁目8−36,青森県,青森市,大字清水,字成見,,18.12,unmatched,住所類似度しきい値未満
青森県,青森市,古川1丁目16−11 丸吉商産ビル 2F,青森県,青森市,古川,字古川,,23.15,unmatched,住所類似度しきい値未満
青森県,青森市,旭町 1丁目15−8,青森県,青森市,大字浦町,字奥野,,18.12,unmatched,住所類似度しきい値未満
青森県,青森市,中央1丁目17−13,青森県,青森市,大字油川,字中道,,17.65,unmatched,住所類似度しきい値未満
青森県,青森市,長島1丁目6−6,青森県,青森市,大字大野,字玉島,,18.67,unmatched,住所類似度しきい値未満
青森県,青森市,浜田2丁目15−18,青森県,青森市,大字浜田,字板橋,,27.79,unmatched,住所類似度しきい値未満
青森県,青森市,幸畑2丁目13−17,青森県,青森市,大字幸畑,字松元,,27.79,unmatched,住所類似度しきい値未満
青森県,青森市,中央1丁目27−1,青森県,青森市,大字油川,字中道,,18.12,unmatched,住所類似度しきい値未満
青森県,青森市,新町 1丁目7−1 7番地1 THREE4階,青森県,青森市,大字新町野,字幾田,,21.09,unmatched,住所類似度しきい値未満
青森県,青森市,長島1丁目3−17 阿保歯科ビル 3階,青森県,青森市,大字浜館,字科,,15.65,unmatched,住所類似度しきい値未満
青森県,青森市,浪打1丁目20−3,青森県,青森市,大字油川,字浪岸,,18.12,unmatched,住所類似度しきい値未満
青森県,青森市,花園1丁目5−11,青森県,青森市,大字浅虫,字内野,,10.0,unmatched,住所類似度しきい値未満
青森県,青森市,中央1丁目5−8,青森県,青森市,大字油川,字中道,,18.67,unmatched,住所類似度しきい値未満
青森県,青森市,富田3丁目15−18,青森県,青森市,沖館,字篠田,,18.67,unmatched,住所類似度しきい値未満
青森県,青森市,青葉1丁目2−26,青森県,青森市,大字桑原,字稲葉,,18.12,unmatched,住所類似度しきい値未満
青森県,青森市,桜川8丁目6−10,青森県,青森市,古川,字古川,,19.29,unmatched,住所類似度しきい値未満
青森県,青森市,桜川5丁目2−11,青森県,青森市,古川,字古川,,19.29,unmatched,住所類似度しきい値未満
青森県,青森市,栄町 2丁目8−18,青森県,青森市,大字浦町,字奥野,,18.12,unmatched,住所類似度しきい値未満
青森県,青森市,栄町 1丁目11−6,青森県,青森市,大字浦町,字奥野,,18.12,unmatched,住所類似度しきい値未満
青森県,弘前市,大町 3丁目4−9,青森県,弘前市,大字町田,字沖田,,27.33,unmatched,住所類似度しきい値未満
青森県,弘前市,取上2丁目16−2,青森県,弘前市,大字取上,アザヒガシダ,,25.87,unmatched,住所類似度しきい値未満
青森県,弘前市,末広4丁目2−3,青森県,弘前市,大字鬼沢,字広野,,18.67,unmatched,住所類似度しきい値未満
青森県,弘前市,石川平岡157−1,青森県,弘前市,大字石川,字留岡,,37.07,unmatched,住所類似度しきい値未満
青森県,弘前市,賀田1丁目20−2,青森県,弘前市,大字賀田,字大浦,,28.94,unmatched,住所類似度しきい値未満
青森県,弘前市,豊原1丁目4−1,青森県,弘前市,大字小友,字神原,,18.67,unmatched,住所類似度しきい値未満
青森県,弘前市,百石町 33,青森県,弘前市,大字藍内,字立石,,20.83,unmatched,住所類似度しきい値未満
青森県,弘前市,富田3丁目10−21,青森県,弘前市,大字清水富田,字寺沢,,25.87,unmatched,住所類似度しきい値未満
青森県,弘前市,上瓦ケ町 5,青森県,弘前市,大字大沢,字上山ケ田,,28.57,unmatched,住所類似度しきい値未満
青森県,弘前市,早稲田3丁目6−9,青森県,弘前市,大字一町田,字早稲田,,36.67,unmatched,住所類似度しきい値未満
青森県,弘前市,徳田町 5,青森県,弘前市,大字田茂木町,字山王,,30.0,unmatched,住所類似度しきい値未満
青森県,弘前市,大町 3丁目10−4,青森県,弘前市,大字町田,字沖田,,26.25,unmatched,住所類似度しきい値未満
青森県,弘前市,城東中央3丁目10−13,青森県,弘前市,大字石川,字中坪,,16.84,unmatched,住所類似度しきい値未満
青森県,弘前市,浜の町 東3丁目3−5,青森県,弘前市,大字町田,字沖田,,17.65,unmatched,住所類似度しきい値未満
青森県,弘前市,青山3丁目8−1,青森県,弘前市,大字悪戸,字青柳,,18.67,unmatched,住所類似度しきい値未満
青森県,弘前市,大清水4丁目10−10,青森県,弘前市,大字乳井,字大清水,,35.53,unmatched,住所類似度しきい値未満
青森県,弘前市,川先4丁目12−24,青森県,弘前市,大字小比内,字川先,,26.78,unmatched,住所類似度しきい値未満
青森県,弘前市,南城西2丁目5−3,青森県,弘前市,大字狼森,字西元,,18.12,unmatched,住所類似度しきい値未満
青森県,弘前市,早稲田2丁目12−14,青森県,弘前市,大字一町田,字早稲田,,33.88,unmatched,住所類似度しきい値未満
青森県,弘前市,神田1丁目8−3,青森県,弘前市,大字石川,字泉田,,18.67,unmatched,住所類似度しきい値未満
青森県,弘前市,早稲田1丁目1−4,青森県,弘前市,大字一町田,字早稲田,,36.67,unmatched,住所類似度しきい値未満
青森県,弘前市,新町 89,青森県,弘前市,大字新法師,字稔,,21.82,unmatched,住所類似度しきい値未満
青森県,弘前市,代官町 75−1,青森県,弘前市,大字五代,字山本,,19.29,unmatched,住所類似度しきい値未満
青森県,弘前市,城東北3丁目5−12,青森県,弘前市,大字大沢,字東前田,,17.22,unmatched,住所類似度しきい値未満
青森県,弘前市,城西4丁目7−8,青森県,弘前市,大字狼森,字西元,,18.67,unmatched,住所類似度しきい値未満
